21217,"Innovations Revolutionizing the Craft Beer Industry and Patient Care, December 2015",/Volumes/HECTVLibrary/Playlists/inn_1512_full show.xpls,,/Users/Administrator/Dropbox/Playlists/inn_1512_full show.xpls
21214,Pathfinder Program in Environmental Sustainability,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21132,Fighting Four Strains of Flu in One Shot,,1511,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20208,A Toy Story & Cardinals Baseball: New Technologies in St. Louis,/Volumes/HECTVLibrary/Playlists/inn_1510.xpls,1510,/Users/Administrator/Dropbox/Playlists/inn_1510.xpls
19963,History in the First Person:  Veterans Day 2015Í¢__ë_„ùVietnam,,151105,/Users/Administrator/Dropbox/Playlists/hlv_1511_veterans_1_pm.xpls
20830,St. Louis Cardinals Install Iris Recognition Technology,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20629,Introduction to Second Half Stories,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20628,Show Close,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20626,RAW Artists Collective,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20623,Actress/Stage Manager Monica Dickhens,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20621,Singer Hannah Donaldson,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20619,Women in Theatre-Dramatic License Productions,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20617,Show Open,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20615,Town and Country Symphony Orchestra,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20609,"Blessing Basket, Missionaries, Urban Farming and Project Be Confident, November 2015",/Volumes/HECTVLibrary/Playlists/imp_1511.xpls,1511,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20607,"Saving Capitalism, For the Many, Not the Few: One on One with Robert Reich",/Volumes/HECTVLibrary/Playlists/mtb_1511_robert_reich_final.xpls,1511,/Users/Administrator/Dropbox/Playlists/mtb_1511_robert_reich_final.xpls
20605,The Swallows' Tale and Shakedown,,1511,/Users/Administrator/Dropbox/Playlists/fra_1511.xpls
20603,"Reviews of Animals Out of Paper; Rapture, Blister, Burn; and others, Nov. 26, 2015",,151126,/Users/Administrator/Dropbox/Playlists/tot_151126.xpls
20601,"Reviews of I and You, The 39 Steps, Dracula, Rumors, Nunsense, and others, Nov. 12, 2015",,151112,/Users/Administrator/Dropbox/Playlists/tot_151112.xpls
20598,Preview of St. Louis International Film Festival,,1511,/Users/Administrator/Dropbox/Playlists/fra_1511_sliff.xpls
20595,Parents As Teachers Supports Families and Helps Raise Test Scores,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19950,Explore! Maps,/Volumes/HECTVLibrary/Playlists/hlv_1510_explore_maps_full_show.xpls,151022,/Users/Administrator/Dropbox/Playlists/hlv_1510_explore_maps_full_show.xpls
20219,Program 5: The Taiwan Experience,/Volumes/HECTVLibrary/Playlists/syn_return_to_rail_5.xpls,5,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_5.xpls
21435,Clowns on Call brings healing for the holiday,,1512,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20423,St. Louis is a Hub for Innovations-Startup Dreams to Medical Marvels,/Volumes/HECTVLibrary/Playlists/inn_1509_final.xpls,1509,/Users/Administrator/Dropbox/Playlists/inn_1509_final.xpls
20359,In the Spotlight: Theatre Guild of Webster Groves,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
20357,Fink: Fashion + Ink,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
19930,History in the First Person: The Gemini Project,,,/Users/Administrator/Dropbox/Playlists/hlv_1510_gemini.xpls
20331,Constitution Day 2015:  The Voting Rights Act of 1965 and its Current Implications - Afternoon Program,,,/Users/Administrator/Dropbox/Playlists/hpr_20150917_constitution_day_1pm.xpls
20258,LensMasters,,1509,/Users/Administrator/Dropbox/Playlists/doc_recycling_psas_lens.xpls
20255,St. Louis Help,,1509,/Users/Administrator/Dropbox/Playlists/doc_recycling_psas_stl_help.xpls
20261,Remains,,1509,/Users/Administrator/Dropbox/Playlists/doc_recycling_psas_remains.xpls
20250,EPC,,1509,/Users/Administrator/Dropbox/Playlists/doc_recycling_psas_epc_.xpls
20247,Operation Food Search,,1509,/Users/Administrator/Dropbox/Playlists/doc_recycling_psas_operation_food.xpls
20240,"Town and Country Symphony, Fink, Webster Groves Theater Guild, and St. Louis Women in Theater, October 2015",/Volumes/HECTVLibrary/Playlists/sot_1510_air_revised.xpls,1510,/Users/Administrator/Dropbox/Playlists/sot_1510_air_revised.xpls
20221,Murder? and Trinity,/Volumes/HECTVLibrary/Playlists/fra_1510.xpls,1510,/Users/Administrator/Dropbox/Playlists/fra_1510.xpls
20217,Program 4: Future Rail: Energy Matters,/Volumes/HECTVLibrary/Playlists/syn_return_to_rail_4.xpls,4,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_4.xpls
20215,Program 3: Rail Efficiency: Fundamental Concept of Rail Transport,/Volumes/HECTVLibrary/Playlists/syn_return_to_rail_3.xpls,3,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_3.xpls
20213,Program 2: Economic Considerations,/Volumes/HECTVLibrary/Playlists/syn_return_to_rail_2.xpls,2,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_2.xpls
20211,Program 1: The Resurgence of Rail,/Volumes/HECTVLibrary/Playlists/syn_return_to_rail_1.xpls,,/Users/Administrator/Dropbox/Playlists/syn_return_to_rail_1.xpls
20206,"Reviews of Angel Street, Matilda, Mary Poppins, and others, Oct. 29, 2015",,151029,/Users/Administrator/Dropbox/Playlists/tot_151029.xpls
20204,"Reviews of The Sunshine Boys, The Kiss, Heathers, Dogfight, and others, Oct. 15, 2015",,151015,/Users/Administrator/Dropbox/Playlists/tot_151015.xpls
20202,"Reviews of Seminar, The World Begun, Venus in Fur, and others, Oct. 1, 2015",,151001,/Users/Administrator/Dropbox/Playlists/tot_151001.xpls
